ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,query,qclass,label_service
1718641810.956134,Cudra12OEIm1le01p2,192.168.1.4,56904.0,108.162.192.136,53.0,udp,32.103.39.54.in-addr.arpa,1.0,dns
1718640752.529793,C7vLdwPTuWc0bHTib,192.168.1.4,51172.0,108.162.192.136,53.0,udp,134.24.211.18.in-addr.arpa,1.0,dns
1718639617.11895,CZNquYCMXTqIQ1nij,fdb3:122f:e2ec:0:b3f1:a17c:ccad:cbc6,5353.0,ff02::fb,5353.0,udp,prometheus._smb._tcp.local,1.0,https
1718641534.544174,CrxXUyZMzCu17wrYl,192.168.1.4,42362.0,172.64.32.136,53.0,udp,181.49.39.54.in-addr.arpa,1.0,dns
1718641960.59773,C8zump1PPjJwmawT6e,192.168.1.4,54338.0,173.245.58.136,53.0,udp,90.103.39.54.in-addr.arpa,1.0,dns
1718641666.079257,CrxXUyZMzCu17wrYl,192.168.1.4,42362.0,172.64.32.136,53.0,udp,232.49.39.54.in-addr.arpa,1.0,dns
1718640012.657713,ClYx8E2sFbl7TSmGR3,192.168.1.4,41349.0,192.168.1.1,53.0,udp,web.ubuntu.com,1.0,https
1718640238.914528,CZkyLv2YkglKFEBu73,192.168.1.4,58265.0,185.125.190.66,53.0,udp,187.188.125.185.in-addr.arpa,1.0,dns
1718640350.719721,CVC3Mh22ULAkBzVwxb,192.168.1.4,38017.0,185.125.190.66,53.0,udp,199.190.125.185.in-addr.arpa,1.0,dns
1718640385.960991,CKQzTE4hdrOiuZch5c,192.168.1.4,42997.0,192.168.1.1,53.0,udp,demadelief.kali.org,1.0,https
1718639986.604837,CpNXgy3a8rU9RtUrn3,192.168.1.4,39759.0,192.168.1.1,53.0,udp,icdo.ubuntu.com,1.0,https
1718639988.630581,COuRugIHGeRm8WL09,192.168.1.4,38034.0,192.168.1.1,53.0,udp,jfc-napl.ubuntu.com,1.0,https
1718640953.33418,COFxLC2GAct7aiX1xa,192.168.1.4,57158.0,108.162.193.209,53.0,udp,212.24.211.18.in-addr.arpa,1.0,dns
1718640399.872172,CPoeSpMwWGDtUB7q3,192.168.1.4,40917.0,192.168.1.1,53.0,udp,raadvanstate.kali.org,1.0,https
1718641886.23703,CA5i4TmPYefTeiju,192.168.1.4,58602.0,172.64.33.209,53.0,udp,62.103.39.54.in-addr.arpa,1.0,dns
1718640000.499491,CkhGN81Bai8z5tgZl2,192.168.1.4,36710.0,192.168.1.1,53.0,udp,riziv.ubuntu.com,1.0,https
1718640403.721781,CmHWew4UkTJlZHQau1,192.168.1.4,55090.0,192.168.1.1,53.0,udp,testncsa.kali.org,1.0,https
1718642283.052402,Cudra12OEIm1le01p2,192.168.1.4,56904.0,108.162.192.136,53.0,udp,215.103.39.54.in-addr.arpa,1.0,dns
1718640015.256299,CdcOwM0GTuWrr32Lc,192.168.1.4,41534.0,185.125.190.66,53.0,udp,17.91.189.91.in-addr.arpa,1.0,dns
1718640522.914959,C7vLdwPTuWc0bHTib,192.168.1.4,51172.0,108.162.192.136,53.0,udp,45.24.211.18.in-addr.arpa,1.0,dns
1718641399.140997,CeyKP532PmVtDblY0k,192.168.1.4,52679.0,173.245.59.209,53.0,udp,129.49.39.54.in-addr.arpa,1.0,dns
1718640498.391218,CEvKP82vcpC3LQIMlk,192.168.1.4,58231.0,172.64.32.136,53.0,udp,35.24.211.18.in-addr.arpa,1.0,dns
1718640516.018781,ChXoHD2fu88KVThkIk,192.168.1.4,46482.0,173.245.58.136,53.0,udp,42.24.211.18.in-addr.arpa,1.0,dns
1718641170.876979,CsLsof2ArIdi4Rbw4b,192.168.1.4,59464.0,108.162.192.136,53.0,udp,40.49.39.54.in-addr.arpa,1.0,dns
