id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,duration,orig_bytes,resp_bytes,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,label
192.168.1.6,46560.0,192.168.1.4,22.0,SSH,18.088622093200684,1607.0,2086.0,SF,1.0,1.0,0.0,ShADadFf,17.0,2499.0,22.0,3238.0,1.0
192.168.1.4,45548.0,192.168.1.1,53.0,udp,0.021745204925537,43.0,108.0,SF,1.0,1.0,0.0,Dd,1.0,71.0,1.0,136.0,0.0
192.168.1.4,54412.0,99.84.191.91,443.0,tcp,0.044632911682128,1818.0,6108.0,SF,1.0,0.0,0.0,ShADadFRf,10.0,2322.0,9.0,6584.0,0.0
192.168.1.4,55978.0,192.168.1.1,53.0,udp,0.001863956451416,45.0,110.0,SF,1.0,1.0,0.0,Dd,1.0,73.0,1.0,138.0,0.0
192.168.1.4,53310.0,23.194.131.11,443.0,udp,0.005092144012451,85.0,167.0,SF,1.0,1.0,0.0,Dd,1.0,113.0,1.0,195.0,0.0
192.168.1.6,41000.0,192.168.1.4,22.0,SSH,18.088222980499268,1607.0,2086.0,SF,1.0,1.0,0.0,ShADadFf,17.0,2499.0,22.0,3238.0,1.0
192.168.1.6,51060.0,192.168.1.4,22.0,SSH,18.09061288833618,1623.0,2086.0,SF,1.0,1.0,0.0,ShADadFf,17.0,2515.0,22.0,3238.0,1.0
192.168.1.4,56494.0,192.168.1.1,53.0,udp,13.3389890193939,1842.0,6405.0,SF,1.0,0.0,0.0,ShADadfF,12.0,2474.0,10.0,6929.0,0.0
192.168.1.4,45818.0,34.199.85.59,443.0,udp,0.061703920364379,2701.0,418.0,RSTO,1.0,0.0,0.0,ShADadfR,7.0,3073.0,6.0,738.0,0.0
192.168.1.4,55458.0,3.166.192.61,443.0,tcp,2.88151407241821,2461.0,5508.0,SF,1.0,0.0,0.0,ShADadFf,15.0,3249.0,13.0,6192.0,0.0
192.168.1.4,41310.0,142.251.179.113,443.0,udp,0.107795000076293,7296.0,10306.0,SF,1.0,0.0,0.0,Dd,16.0,7744.0,18.0,10810.0,0.0
192.168.1.6,45686.0,192.168.1.4,22.0,SSH,18.13381004333496,1615.0,2086.0,SF,1.0,1.0,0.0,ShADadFf,17.0,2507.0,24.0,3342.0,1.0
192.168.1.4,51583.0,192.168.1.1,53.0,udp,0.009922981262207,60.0,112.0,SF,1.0,1.0,0.0,Dd,1.0,88.0,1.0,140.0,0.0
192.168.1.4,43042.0,3.213.224.199,443.0,tcp,11.9399070739746,53418.0,656292.0,SF,1.0,0.0,10136.0,ShADadgFRf,184.0,62970.0,293.0,671536.0,0.0
192.168.1.4,39230.0,192.168.1.1,53.0,udp,0.002711057662963,41.0,229.0,SF,1.0,1.0,0.0,Dd,1.0,69.0,1.0,257.0,0.0
192.168.1.4,39119.0,192.168.1.1,53.0,udp,0.024014949798583,51.0,154.0,SF,1.0,1.0,0.0,Dd,1.0,79.0,1.0,182.0,0.0
192.168.1.4,50932.0,192.168.1.1,53.0,udp,0.000516891479492,60.0,60.0,SF,1.0,1.0,0.0,Dd,1.0,88.0,1.0,88.0,0.0
192.168.1.6,38246.0,192.168.1.4,22.0,SSH,16.587262868881226,1655.0,2086.0,SF,1.0,1.0,0.0,ShADadFf,17.0,2547.0,22.0,3238.0,1.0
192.168.1.4,50779.0,192.168.1.1,53.0,udp,0.001512050628662,45.0,236.0,SF,1.0,1.0,0.0,Dd,1.0,73.0,1.0,264.0,0.0
192.168.1.4,59724.0,199.38.167.130,443.0,udp,0.1022789478302,5077.0,9466.0,SF,1.0,0.0,0.0,Dd,12.0,5413.0,13.0,9830.0,0.0
192.168.1.4,37441.0,192.168.1.1,53.0,udp,0.044195175170898,44.0,494.0,SF,1.0,1.0,0.0,Dd,1.0,72.0,1.0,522.0,0.0
192.168.1.4,57766.0,31.13.66.19,443.0,tcp,44.2301688194275,2948.0,78051.0,SF,1.0,0.0,0.0,ShADadFf,41.0,5088.0,67.0,81543.0,0.0
192.168.1.4,60646.0,192.168.1.1,53.0,udp,0.00462794303894,60.0,120.0,SF,1.0,1.0,0.0,Dd,1.0,88.0,1.0,148.0,0.0
192.168.1.6,47564.0,192.168.1.4,22.0,SSH,0.000427961349487,23.0,22.0,RSTR,1.0,1.0,0.0,ShADadr,4.0,239.0,5.0,278.0,1.0
192.168.1.4,58924.0,172.253.62.94,443.0,tcp,60.066586971283,1833.0,6349.0,SF,1.0,0.0,0.0,ShADadFf,12.0,2465.0,10.0,6877.0,0.0
192.168.1.4,45882.0,192.168.1.1,53.0,udp,0.185992956161499,50.0,307.0,SF,1.0,1.0,0.0,Dd,1.0,78.0,1.0,335.0,0.0
192.168.1.4,38742.0,146.75.30.109,443.0,udp,0.0,2736.0,4946.0,SF,0.0,0.0,0.0,Dd,5.0,2876.0,7.0,5142.0,0.0
192.168.1.4,50982.0,172.253.63.154,443.0,udp,0.001566886901855,60.0,121.0,SF,1.0,1.0,0.0,Dd,1.0,88.0,1.0,149.0,0.0
192.168.1.4,53379.0,192.168.1.1,53.0,udp,155.470211029053,2672.0,132106.0,SF,1.0,0.0,0.0,ShADadFf,67.0,6164.0,65.0,135494.0,0.0
192.168.1.4,51906.0,216.239.36.54,443.0,tcp,0.051645994186401,1835.0,13738.0,SF,1.0,0.0,0.0,ShADadFRf,14.0,2547.0,12.0,14370.0,0.0
192.168.1.4,33746.0,99.86.229.8,443.0,tcp,12.7076988220215,2434.0,60695.0,SF,1.0,0.0,0.0,ShADadFf,33.0,4158.0,42.0,62887.0,0.0
192.168.1.4,37292.0,104.90.96.237,443.0,tcp,120.269528865814,2884.0,5292.0,SF,1.0,0.0,0.0,ShADadfF,22.0,4036.0,24.0,6548.0,0.0
192.168.1.4,59641.0,192.168.1.1,53.0,udp,0.003371000289916,50.0,107.0,SF,1.0,1.0,0.0,Dd,1.0,78.0,1.0,135.0,0.0
192.168.1.4,38888.0,23.205.106.19,443.0,udp,3.20568108558655,2978.0,4614.0,SF,1.0,0.0,0.0,IIiiihhhIHHH,10.0,3506.0,9.0,5090.0,0.0
192.168.1.4,44436.0,192.168.1.1,53.0,udp,0.045878887176513,48.0,472.0,SF,1.0,1.0,0.0,Dd,1.0,76.0,1.0,500.0,0.0
192.168.1.4,50001.0,192.168.1.1,53.0,udp,0.034693956375122,48.0,130.0,SF,1.0,1.0,0.0,Dd,1.0,76.0,1.0,158.0,0.0
192.168.1.4,54179.0,192.168.1.1,53.0,udp,0.0464448928833,48.0,444.0,SF,1.0,1.0,0.0,Dd,1.0,76.0,1.0,472.0,0.0
192.168.1.4,48769.0,192.168.1.1,53.0,udp,0.012584924697875,56.0,101.0,SF,1.0,1.0,0.0,Dd,1.0,84.0,1.0,129.0,0.0
192.168.1.4,33156.0,23.205.105.62,443.0,udp,0.015863180160522,49.0,405.0,SF,1.0,1.0,0.0,IIiiihhhIHHhH,1.0,77.0,1.0,433.0,0.0
192.168.1.4,41815.0,192.168.1.1,53.0,udp,30.1116127967834,3763.0,5304.0,SF,1.0,0.0,0.0,ShADadFRf,19.0,4735.0,17.0,6196.0,0.0
192.168.1.4,50729.0,52.85.132.46,443.0,udp,0.06112003326416,2865.0,8547.0,SF,1.0,0.0,0.0,Dd,8.0,3089.0,10.0,8827.0,0.0
