ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,duration,local_orig,proto,orig_bytes,resp_bytes,conn_state,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,client_initial_dcid,server_scid,label
1722971812.202901,Ct20je4FETiRnX4VSh,192.168.1.4,53848,172.253.122.139,443,0.9107201099000001,True,udp,2534,73307,SF,False,0,IIiiiIhhhHHhH,46,4922,51,75967,e82a82d1a907d17e,e82a82d1a907d17e,HTTPS
1722971872.136538,CK4eMY1n7xfmBMxQDb,192.168.1.4,54026,192.168.1.1,53,0.9107201099000001,True,udp,2534,73307,SF,False,0,IIiiiIhhhHHhH,46,4922,51,75967,e82a82d1a907d17e,e82a82d1a907d17e,DNS
1722971870.507141,Cr8vQr1KnKVPxg36Kk,192.168.1.4,49130,3.166.195.154,443,0.9107201099000001,True,udp,2534,73307,SF,False,0,IIiiiIhhhHHhH,46,4922,51,75967,e82a82d1a907d17e,e82a82d1a907d17e,HTTPS
1722971868.586914,CH93fQbv6Jf4cvFql,192.168.1.4,58947,192.168.1.1,53,0.0177369118,True,udp,37,182,SF,True,0,Dd,1,65,1,210,e82a82d1a907d17e,e82a82d1a907d17e,DNS
1722971871.207695,CdQfVJ2AOPozC035M4,192.168.1.4,35958,8.28.7.82,443,0.0177369118,True,udp,37,182,SF,True,0,Dd,1,65,1,210,e82a82d1a907d17e,e82a82d1a907d17e,HTTPS
1722971872.27705,CrFPbb1TRHV76RkYVb,192.168.1.4,44620,34.238.98.116,443,0.0473670959,True,tcp,1909,147,SF,False,0,ShADadFf,7,2281,6,467,e82a82d1a907d17e,e82a82d1a907d17e,HTTPS
1722971871.415253,CCTukC2v25DAMUTBX4,192.168.1.4,59642,3.166.192.9,443,0.0473670959,True,tcp,1909,147,SF,False,0,ShADadFf,7,2281,6,467,e82a82d1a907d17e,e82a82d1a907d17e,HTTPS
1722971870.568381,CRmWAcmZG5WrbcDE8,192.168.1.4,41374,104.22.4.69,443,0.0473670959,True,tcp,1909,147,SF,False,0,ShADadFf,7,2281,6,467,e82a82d1a907d17e,e82a82d1a907d17e,HTTPS
1722971870.540476,C8FyfVvNgoWK3yV9,192.168.1.4,39464,192.168.1.1,53,0.0473670959,True,udp,1909,147,SF,False,0,ShADadFf,7,2281,6,467,e82a82d1a907d17e,e82a82d1a907d17e,DNS
1722971867.334636,CPlMoT1mnNhMINBtY1,192.168.1.4,58561,192.168.1.1,53,0.06370210650000001,True,udp,35,502,SF,True,0,Dd,1,63,1,530,e82a82d1a907d17e,e82a82d1a907d17e,DNS
