ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,duration,local_orig,client_initial_dcid,server_scid,history,proto,orig_bytes,resp_bytes,conn_state,local_resp,missed_bytes,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,label
1722974106.954664,CRUSGE1zGCzIECopxl,192.168.1.4,51630,172.253.62.157,443,0.014047861100000001,True,bc1dc81767646465,fc1dc81767646465,IIiiiIhhhHHhH,udp,25,381,SF,True,0,1,53,1,409,HTTPS
1722974175.884737,ChMcv44PRxh5YF3kLh,192.168.1.4,48825,192.168.1.1,53,0.014047861100000001,True,bc1dc81767646465,fc1dc81767646465,IIiiiIhhhHHhH,udp,25,381,SF,True,0,1,53,1,409,DNS
1722974167.848323,Cm4aIEMd95nopQ6J8,192.168.1.4,57125,192.168.1.1,53,0.014047861100000001,True,bc1dc81767646465,fc1dc81767646465,IIiiiIhhhHHhH,udp,25,381,SF,True,0,1,53,1,409,DNS
1722974169.429854,CaJjD53gAeTIMU84Xf,192.168.1.4,46284,13.107.21.237,443,9.7383451462,True,bc1dc81767646465,fc1dc81767646465,ShADadFf,tcp,4338,8284,SF,False,0,14,4918,18,9016,HTTPS
1722974168.463214,C7NP3a3t8TRMDScTjg,192.168.1.4,60222,192.168.1.1,53,9.7383451462,True,bc1dc81767646465,fc1dc81767646465,ShADadFf,udp,4338,8284,SF,False,0,14,4918,18,9016,DNS
1722974201.987609,ChRa5Yki1crxdFnAe,192.168.1.4,32920,31.13.71.7,443,9.7383451462,True,bc1dc81767646465,fc1dc81767646465,ShADadFf,udp,4338,8284,SF,False,0,14,4918,18,9016,HTTPS
1722974106.122673,CQeNW93lUkhKwXhwFa,192.168.1.4,48744,142.251.167.155,443,1.565392971,True,bc1dc81767646465,fc1dc81767646465,Dd,udp,7914,20575,SF,False,0,39,9006,46,21863,HTTPS
1722974175.918759,Cm039x4tbpjRjxgAr3,192.168.1.4,60300,216.34.207.201,443,1.565392971,True,bc1dc81767646465,fc1dc81767646465,Dd,udp,7914,20575,SF,False,0,39,9006,46,21863,HTTPS
1722974176.161543,C23O3M3Updpe69XZMk,192.168.1.4,49651,192.168.1.1,53,1.565392971,True,bc1dc81767646465,fc1dc81767646465,Dd,udp,7914,20575,SF,False,0,39,9006,46,21863,DNS
1722974168.353667,CatdWi3JXGlIZmwWk6,192.168.1.4,33224,192.168.1.1,53,1.565392971,True,bc1dc81767646465,fc1dc81767646465,Dd,udp,7914,20575,SF,False,0,39,9006,46,21863,DNS
1722974167.848648,CQkO5i3ax0ACpQGMnc,192.168.1.4,41828,192.168.1.1,53,1.565392971,True,bc1dc81767646465,fc1dc81767646465,Dd,udp,7914,20575,SF,False,0,39,9006,46,21863,DNS
1722974167.979684,C2SKUl4RLSchZyjQ98,192.168.1.4,53948,192.168.1.1,53,0.004601955400000001,True,bc1dc81767646465,fc1dc81767646465,Dd,udp,34,420,SF,True,0,1,62,1,448,DNS
1722974175.376749,CDWVhNwzgikQeHtPf,192.168.1.4,40740,192.168.1.1,53,0.0038259029000000003,True,bc1dc81767646465,fc1dc81767646465,Dd,udp,39,236,SF,True,0,1,67,1,264,DNS
