ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,duration,orig_bytes,resp_bytes,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,label
1720727191.776569,CE9vkT1id8xDEG9KQg,192.168.1.4,47984.0,42.56.77.10,80.0,tcp,30.567430019378666,0.0,0.0,SF,1.0,0.0,0.0,ShAfFa,5.0,220.0,4.0,184.0,HTTP
1720727601.851611,CzBc2M1tO0ulZsHlk,192.168.1.6,53020.0,192.168.1.4,21.0,tcp,10.998106002807615,118.0,188.0,SF,1.0,1.0,0.0,ShAdDafrF,18.0,1062.0,17.0,1056.0,FTP
1720727676.387845,CmkaTs39ylD97njU4e,192.168.1.4,33941.0,192.168.1.1,53.0,udp,10.998106002807615,118.0,188.0,SF,1.0,1.0,0.0,ShAdDafrF,18.0,1062.0,17.0,1056.0,DNS
1720726771.616898,CFw8pC4Q1mCnpTxl1e,192.168.1.4,46423.0,192.168.1.1,53.0,udp,0.014292955398559,51.0,111.0,SF,1.0,1.0,0.0,Dd,1.0,79.0,1.0,139.0,DNS
1720727252.180549,CknHpBRM8bOzNBGT8,192.168.1.4,57073.0,192.168.1.1,53.0,udp,0.014292955398559,51.0,111.0,SF,1.0,1.0,0.0,Dd,1.0,79.0,1.0,139.0,DNS
1720727311.967589,CaQv12GYXF3vbsaMa,192.168.1.4,34318.0,172.217.165.142,443.0,tcp,60.61994910240173,1846.0,13361.0,SF,1.0,0.0,0.0,ShADadFf,16.0,2686.0,14.0,14097.0,HTTPS
1720727282.861104,C5zFNQ3LKhZxuBEY4,192.168.1.4,56509.0,192.168.1.1,53.0,udp,60.61994910240173,1846.0,13361.0,SF,1.0,0.0,0.0,ShADadFf,16.0,2686.0,14.0,14097.0,DNS
1720726963.693864,CSADPJ3u4ytJZiiqfh,192.168.1.4,43402.0,44.236.146.84,443.0,udp,60.61994910240173,1846.0,13361.0,SF,1.0,0.0,0.0,ShADadFf,16.0,2686.0,14.0,14097.0,HTTPS
1720727735.407095,Cmy0YR3CFjVjIedodl,192.168.1.4,48782.0,192.168.1.1,53.0,udp,0.036327123641967,58.0,139.0,SF,1.0,1.0,0.0,Dd,1.0,86.0,1.0,167.0,DNS
1720726716.171297,C3TzUf1zbTvkPaCcR7,192.168.1.4,55184.0,124.239.14.253,443.0,udp,0.036327123641967,58.0,139.0,SF,1.0,1.0,0.0,Dd,1.0,86.0,1.0,167.0,HTTPS
1720726166.621834,Cz4v5w18w5FSW1Roce,192.168.1.4,59540.0,142.251.32.98,443.0,udp,0.036327123641967,58.0,139.0,SF,1.0,1.0,0.0,Dd,1.0,86.0,1.0,167.0,HTTPS
