ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,duration,orig_bytes,resp_bytes,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,label
1719512345.844489,C9ii1UUMpmpLCns16,192.168.1.4,54192.0,192.168.1.1,53.0,udp,0.015505790710449,47.0,110.0,SF,1.0,1.0,0.0,Dd,1.0,75.0,1.0,138.0,DNS
1719512366.121651,CV9WcVqbBhW9kW0o8,192.168.1.4,47559.0,192.168.1.1,53.0,udp,0.016775131225585,47.0,110.0,SF,1.0,1.0,0.0,Dd,1.0,75.0,1.0,138.0,DNS
1719512365.15443,CUieBx41teios97358,192.168.1.4,55383.0,192.168.1.1,53.0,udp,0.016775131225585,47.0,110.0,SF,1.0,1.0,0.0,Dd,1.0,75.0,1.0,138.0,DNS
1719512360.547458,CF4l2r2DLdPoTkk1W6,192.168.1.4,59066.0,192.168.1.1,53.0,udp,0.016775131225585,47.0,110.0,SF,1.0,1.0,0.0,Dd,1.0,75.0,1.0,138.0,DNS
1719515892.836683,CZ91ZY2A2DAlgE8vBf,192.168.1.4,35281.0,173.245.58.235,53.0,udp,0.016775131225585,47.0,110.0,SF,1.0,1.0,0.0,Dd,1.0,75.0,1.0,138.0,DNS
1719512990.32655,C8n5BZ3kRphD5OqhDi,192.168.1.4,54833.0,173.245.58.235,53.0,udp,0.016775131225585,47.0,110.0,SF,1.0,1.0,0.0,Dd,1.0,75.0,1.0,138.0,DNS
1719512360.035707,CjAuQ5eUu1SWB0T3,192.168.1.4,58559.0,192.168.1.1,53.0,udp,0.015997886657714,59.0,122.0,SF,1.0,1.0,0.0,Dd,1.0,87.0,1.0,150.0,DNS
1719512356.602526,CUnfM92CUnqdLABmGk,192.168.1.4,60548.0,192.168.1.1,53.0,udp,0.015969038009643,53.0,116.0,SF,1.0,1.0,0.0,Dd,1.0,81.0,1.0,144.0,DNS
1719513991.437726,CS4sVr3jYjalpefd9f,192.168.1.4,45215.0,108.162.192.235,53.0,udp,0.015969038009643,53.0,116.0,SF,1.0,1.0,0.0,Dd,1.0,81.0,1.0,144.0,DNS
1719512360.000768,CszODv3JjtRbrIvDA2,192.168.1.4,40671.0,192.168.1.1,53.0,udp,0.015969038009643,53.0,116.0,SF,1.0,1.0,0.0,Dd,1.0,81.0,1.0,144.0,DNS
1719512358.545021,C1NXYq3Hpew26XzLq1,192.168.1.4,51759.0,192.168.1.1,53.0,udp,0.015969038009643,53.0,116.0,SF,1.0,1.0,0.0,Dd,1.0,81.0,1.0,144.0,DNS
1719513116.760922,C8nsH84rd73agU9eG4,192.168.1.4,59760.0,173.245.59.245,53.0,udp,0.015969038009643,53.0,116.0,SF,1.0,1.0,0.0,Dd,1.0,81.0,1.0,144.0,DNS
1719514722.660342,COzBhO1NRdw8LiteTe,192.168.1.4,41905.0,108.162.193.245,53.0,udp,0.015969038009643,53.0,116.0,SF,1.0,1.0,0.0,Dd,1.0,81.0,1.0,144.0,DNS
1719513844.375775,CS4sVr3jYjalpefd9f,192.168.1.4,45215.0,108.162.192.235,53.0,udp,0.015969038009643,53.0,116.0,SF,1.0,1.0,0.0,Dd,1.0,81.0,1.0,144.0,DNS
1719514123.42603,CPzGBZ1cGmKfLyUc3d,192.168.1.4,39451.0,172.64.33.245,53.0,udp,0.015969038009643,53.0,116.0,SF,1.0,1.0,0.0,Dd,1.0,81.0,1.0,144.0,DNS
1719515962.47673,CZ91ZY2A2DAlgE8vBf,192.168.1.4,35281.0,173.245.58.235,53.0,udp,0.015969038009643,53.0,116.0,SF,1.0,1.0,0.0,Dd,1.0,81.0,1.0,144.0,DNS
1719512353.02837,CZWCXK3iSdlNbj0ZNg,192.168.1.4,38047.0,192.168.1.1,53.0,udp,0.015357017517089,50.0,113.0,SF,1.0,1.0,0.0,Dd,1.0,78.0,1.0,141.0,DNS
1719512860.883179,CxLNqB1HicKSs0QKq,192.168.1.4,38561.0,172.64.32.235,53.0,udp,0.015357017517089,50.0,113.0,SF,1.0,1.0,0.0,Dd,1.0,78.0,1.0,141.0,DNS
1719512739.646549,CoM1Ur1oBgSnnM7R1j,192.168.1.4,60049.0,108.162.192.235,53.0,udp,0.015357017517089,50.0,113.0,SF,1.0,1.0,0.0,Dd,1.0,78.0,1.0,141.0,DNS
1719513591.546913,C8nsH84rd73agU9eG4,192.168.1.4,59760.0,173.245.59.245,53.0,udp,0.015357017517089,50.0,113.0,SF,1.0,1.0,0.0,Dd,1.0,78.0,1.0,141.0,DNS
1719513950.151548,CIZ1Kl1EuXHA8LAfCb,192.168.1.4,52576.0,172.64.32.235,53.0,udp,0.015357017517089,50.0,113.0,SF,1.0,1.0,0.0,Dd,1.0,78.0,1.0,141.0,DNS
1719512956.77455,C8n5BZ3kRphD5OqhDi,192.168.1.4,54833.0,173.245.58.235,53.0,udp,0.015357017517089,50.0,113.0,SF,1.0,1.0,0.0,Dd,1.0,78.0,1.0,141.0,DNS
1719512352.843494,CiQ5dydnQh7XZQ9f1,192.168.1.4,36781.0,192.168.1.1,53.0,udp,0.015210151672363,43.0,106.0,SF,1.0,1.0,0.0,Dd,1.0,71.0,1.0,134.0,DNS
1719512746.53646,Cn1dPs1ytsjAveMys8,192.168.1.4,32931.0,108.162.193.245,53.0,udp,0.015210151672363,43.0,106.0,SF,1.0,1.0,0.0,Dd,1.0,71.0,1.0,134.0,DNS
